"seq","aou","english_common_name","species_name"
3841,"06800","MacGillivray's Warbler","Geothlypis tolmiei"
3844,"06790","Mourning Warbler","Geothlypis philadelphia"
3847,"06770","Kentucky Warbler","Geothlypis formosa"
3850,"17610","Black-polled Yellowthroat","Geothlypis speciosa"
3853,"06820","Belding's Yellowthroat","Geothlypis beldingi"
3856,"17580","Altamira Yellowthroat","Geothlypis flavovelata"
3859,"06810","Common Yellowthroat","Geothlypis trichas"
3862,"17620","Hooded Yellowthroat","Geothlypis nelsoni"
3865,"17560","Elfin-woods Warbler","Setophaga angelae"
3868,"06840","Hooded Warbler","Setophaga citrina"
3871,"06870","American Redstart","Setophaga ruticilla"
3874,"06700","Kirtland's Warbler","Setophaga kirtlandii"
3877,"06500","Cape May Warbler","Setophaga tigrina"
3880,"06580","Cerulean Warbler","Setophaga cerulea"
3883,"06480","Northern Parula","Setophaga americana"
3886,"06490","Tropical Parula","Setophaga pitiayumi"
3889,"06570","Magnolia Warbler","Setophaga magnolia"
3892,"06600","Bay-breasted Warbler","Setophaga castanea"
3895,"06620","Blackburnian Warbler","Setophaga fusca"
3898,"06520","Yellow Warbler","Setophaga petechia"
3901,"06590","Chestnut-sided Warbler","Setophaga pensylvanica"
3904,"06610","Blackpoll Warbler","Setophaga striata"
3907,"06540","Black-throated Blue Warbler","Setophaga caerulescens"
3910,"06720","Palm Warbler","Setophaga palmarum"
3913,"06710","Pine Warbler","Setophaga pinus"
3916,"06550","(Myrtle Warbler) Yellow-rumped Warbler","Setophaga coronata coronata"
3919,"06560","(Audubon's Warbler) Yellow-rumped Warbler","Setophaga coronata audoboni"
3922,"06556","(unid. Myrtle/Audubon's) Yellow-rumped Warbler","Setophaga coronata"
3925,"06630","Yellow-throated Warbler","Setophaga dominica"
3928,"06730","Prairie Warbler","Setophaga discolor"
3931,"17510","Adelaide's Warbler","Setophaga adelaidae"
3934,"06640","Grace's Warbler","Setophaga graciae"
3937,"06650","Black-throated Gray Warbler","Setophaga nigrescens"
3940,"06680","Townsend's Warbler","Setophaga townsendi"
3943,"06690","Hermit Warbler","Setophaga occidentalis"
3946,"06685","unid. Townsend's Warbler / Hermit Wabler","Setophaga townsendi / occidentalis"
3949,"06660","Golden-cheeked Warbler","Setophaga chrysoparia"
3952,"06670","Black-throated Green Warbler","Setophaga virens"
3955,"06881","Fan-tailed Warbler","Basileuterus lachrymosus"
3958,"06921","Rufous-capped Warbler","Basileuterus rufifrons"
3961,"06930","Golden-browed Warbler","Basileuterus belli"
3964,"06920","Golden-crowned Warbler","Basileuterus culicivorus"
3967,"06860","Canada Warbler","Cardellina canadensis"
3970,"06850","Wilson's Warbler","Cardellina pusilla"
3973,"06900","Red-faced Warbler","Cardellina rubrifrons"
3976,"06910","Red Warbler","Cardellina rubra"
3979,"17680","Pink-headed Warbler","Cardellina versicolor"
3982,"06880","Painted Redstart","Myioborus pictus"
3985,"06890","Slate-throated Redstart","Myioborus miniatus"
3988,"06830","Yellow-breasted Chat","Icteria virens"
3991,"06350","Bananaquit","Coereba flaveola"
3994,"18480","Puerto Rican Tanager","Nesospingus speculiferus"
3997,"18400","Rosy Thrush-Tanager","Rhodinocichla rosea"
4000,"18180","Gray-headed Tanager","Eucometis penicillata"
4003,"18190","Black-throated Shrike-Tanager","Lanio aurantius"
4006,"18330","Crimson-collared Tanager","Ramphocelus sanguinolentus"
4009,"18350","Passerini's Tanager","Ramphocelus passerinii"
4012,"06101","Western Spindalis","Spindalis zena"
4015,"18143","Puerto Rican Spindalis","Spindalis portoricensis"
4018,"18120","Blue-gray Tanager","Thraupis episcopus"
4021,"18130","Yellow-winged Tanager","Thraupis abbas"
4024,"17800","Azure-rumped Tanager","Tangara cabanisi"
4027,"17880","Golden-hooded Tanager","Tangara larvata"
4030,"17940","Green Honeycreeper","Chlorophanes spiza"
4033,"17950","Shining Honeycreeper","Cyanerpes lucidus"
4036,"17970","Red-legged Honeycreeper","Cyanerpes cyaneus"
4039,"18530","Grayish Saltator","Saltator coerulescens"
4042,"18540","Buff-throated Saltator","Saltator maximus"
4045,"18550","Black-headed Saltator","Saltator atriceps"
4048,"18810","Blue-black Grassquit","Volatinia jacarina"
4051,"18830","Variable Seedeater","Sporophila americana"
4054,"06020","White-collared Seedeater","Sporophila torqueola"
4057,"18850","Ruddy-breasted Seedeater","Sporophila minuta"
4060,"18871","Thick-billed Seed-Finch","Oryzoborus funereus"
4063,"06032","Yellow-faced Grassquit","Tiaris olivaceus"
4066,"06030","Black-faced Grassquit","Tiaris bicolor"
4069,"18910","Puerto Rican Bullfinch","Loxigilla portoricensis"
4075,"18970","Slaty Finch","Haplospiza rustica"
4078,"18990","Cinnamon-bellied Flowerpiercer","Diglossa baritula"
4081,"05861","Saffron Finch","Sicalis flaveola"
4084,"19010","Grassland Yellow-Finch","Sicalis luteola"
4087,"05922","Red-crested Cardinal","Paroaria coronata"
4093,"18730","Orange-billed Sparrow","Arremon aurantiirostris"
4096,"18700","Chestnut-capped Brush-Finch","Arremon brunneinucha"
4099,"18710","Green-striped Brush-Finch","Arremon virenticeps"
4102,"05860","Olive Sparrow","Arremonops rufivirgatus"
4105,"18740","Green-backed Sparrow","Arremonops chloronotus"
4108,"18670","White-naped Brush-Finch","Atlapetes albinucha"
4111,"18690","Rufous-capped Brush-Finch","Atlapetes pileatus"
4114,"18790","Collared Towhee","Pipilo ocai"
4117,"05900","Green-tailed Towhee","Pipilo chlorurus"
4120,"05880","Spotted Towhee","Pipilo maculatus"
4123,"05870","Eastern Towhee","Pipilo erythrophthalmus"
4126,"05871","unid. Spotted Towhee / Eastern Towhee","Pipilo maculatus / erythrophthalmus"
4129,"19080","Rusty Sparrow","Aimophila rufescens"
4132,"05800","Rufous-crowned Sparrow","Aimophila ruficeps"
4135,"19070","Oaxaca Sparrow","Aimophila notosticta"
4138,"18780","White-eared Ground-Sparrow","Melozone leucotis"
4141,"18770","Prevost's Ground-Sparrow","Melozone biarcuata"
4144,"18760","Rusty-crowned Ground-Sparrow","Melozone kieneri"
4147,"05910","Canyon Towhee","Melozone fusca"
4150,"18800","White-throated Towhee","Melozone albicollis"
4153,"05911","California Towhee","Melozone crissalis"
4156,"05920","Abert's Towhee","Melozone aberti"
4159,"19060","Cinnamon-tailed Sparrow","Peucaea sumichrasti"
4162,"05790","Rufous-winged Sparrow","Peucaea carpalis"
4165,"19050","Stripe-headed Sparrow","Peucaea ruficauda"
4168,"19040","Black-chested Sparrow","Peucaea humeralis"
4171,"19030","Bridled Sparrow","Peucaea mystacalis"
4174,"05760","Botteri's Sparrow","Peucaea botterii"
4177,"05780","Cassin's Sparrow","Peucaea cassinii"
